problem_type,x,y,question,solution
modulo,845,559,What is 845 mod 559?,286
square_mod,633,213,What is 633^2 mod 213?,36
square_mod,739,668,What is 739^2 mod 668?,365
lcm,765,555,What is the LCM of 765 and 555 mod 1000?,305
division,594,317,What is 594 // 317?,1
bitwise_xor,845,749,What is 845 XOR 749?,416
modulo,723,351,What is 723 mod 351?,21
multiplication,185,36,What is 185 times 36 mod 1000?,660
division,553,269,What is 553 // 269?,2
lcm,965,516,What is the LCM of 965 and 516 mod 1000?,940
lcm,401,67,What is the LCM of 401 and 67 mod 1000?,867
bitwise_or,827,259,What is 827 OR 259?,827
addition,687,137,What is 687 plus 137?,824
addition,244,326,What is 244 plus 326?,570
bitwise_or,577,12,What is 577 OR 12?,589
gcd,853,524,What is the GCD of 853 and 524?,1
square_mod,857,856,What is 857^2 mod 856?,1
addition,816,171,What is 816 plus 171?,987
division,826,51,What is 826 // 51?,16
bitwise_and,71,581,What is 71 AND 581?,69
division,804,619,What is 804 // 619?,1
addition,858,857,What is 858 plus 857?,1715
lcm,207,892,What is the LCM of 207 and 892 mod 1000?,644
gcd,27,58,What is the GCD of 27 and 58?,1
lcm,405,817,What is the LCM of 405 and 817 mod 1000?,885
bitwise_and,861,642,What is 861 AND 642?,512
addition,884,103,What is 884 plus 103?,987
gcd,712,619,What is the GCD of 712 and 619?,1
square_mod,871,107,What is 871^2 mod 107?,11
bitwise_xor,29,999,What is 29 XOR 999?,1018
gcd,924,364,What is the GCD of 924 and 364?,28
division,955,795,What is 955 // 795?,1
addition,80,509,What is 80 plus 509?,589
bitwise_and,516,901,What is 516 AND 901?,516
modulo,971,9,What is 971 mod 9?,8
bitwise_xor,312,259,What is 312 XOR 259?,59
gcd,284,483,What is the GCD of 284 and 483?,1
addition,356,920,What is 356 plus 920?,1276
bitwise_xor,304,108,What is 304 XOR 108?,348
addition,839,169,What is 839 plus 169?,1008
lcm,689,683,What is the LCM of 689 and 683 mod 1000?,587
gcd,92,257,What is the GCD of 92 and 257?,1
lcm,243,776,What is the LCM of 243 and 776 mod 1000?,568
lcm,16,51,What is the LCM of 16 and 51 mod 1000?,816
gcd,531,496,What is the GCD of 531 and 496?,1
bitwise_or,330,404,What is 330 OR 404?,478
lcm,229,875,What is the LCM of 229 and 875 mod 1000?,375
square_mod,667,399,What is 667^2 mod 399?,4
square_mod,730,418,What is 730^2 mod 418?,368
lcm,907,249,What is the LCM of 907 and 249 mod 1000?,843
gcd,311,559,What is the GCD of 311 and 559?,1
bitwise_xor,718,321,What is 718 XOR 321?,911
division,697,357,What is 697 // 357?,1
modulo,672,286,What is 672 mod 286?,100
bitwise_or,739,54,What is 739 OR 54?,759
gcd,878,89,What is the GCD of 878 and 89?,1
square_mod,617,200,What is 617^2 mod 200?,89
bitwise_and,237,332,What is 237 AND 332?,76
addition,962,145,What is 962 plus 145?,1107
bitwise_xor,254,871,What is 254 XOR 871?,921
lcm,533,169,What is the LCM of 533 and 169 mod 1000?,929
square_mod,792,410,What is 792^2 mod 410?,374
modulo,978,553,What is 978 mod 553?,425
modulo,114,90,What is 114 mod 90?,24
gcd,555,541,What is the GCD of 555 and 541?,1
lcm,151,743,What is the LCM of 151 and 743 mod 1000?,193
multiplication,117,723,What is 117 times 723 mod 1000?,591
division,722,387,What is 722 // 387?,1
bitwise_or,790,179,What is 790 OR 179?,951
bitwise_and,672,559,What is 672 AND 559?,544
modulo,571,308,What is 571 mod 308?,263
bitwise_or,375,64,What is 375 OR 64?,375
gcd,992,64,What is the GCD of 992 and 64?,32
bitwise_xor,722,346,What is 722 XOR 346?,904
multiplication,744,476,What is 744 times 476 mod 1000?,144
division,708,147,What is 708 // 147?,4
gcd,513,495,What is the GCD of 513 and 495?,9
addition,14,796,What is 14 plus 796?,810
addition,984,561,What is 984 plus 561?,1545
bitwise_and,853,549,What is 853 AND 549?,517
bitwise_or,966,933,What is 966 OR 933?,999
modulo,638,312,What is 638 mod 312?,14
bitwise_and,568,287,What is 568 AND 287?,24
square_mod,901,169,What is 901^2 mod 169?,94
division,823,533,What is 823 // 533?,1
bitwise_and,978,755,What is 978 AND 755?,722
lcm,321,926,What is the LCM of 321 and 926 mod 1000?,246
division,312,49,What is 312 // 49?,6
bitwise_and,451,585,What is 451 AND 585?,65
multiplication,613,540,What is 613 times 540 mod 1000?,20
square_mod,850,84,What is 850^2 mod 84?,16
modulo,837,233,What is 837 mod 233?,138
square_mod,561,235,What is 561^2 mod 235?,56
bitwise_and,783,900,What is 783 AND 900?,772
square_mod,360,94,What is 360^2 mod 94?,68
square_mod,503,164,What is 503^2 mod 164?,121
bitwise_xor,973,126,What is 973 XOR 126?,947
gcd,320,419,What is the GCD of 320 and 419?,1
addition,553,934,What is 553 plus 934?,1487
square_mod,884,247,What is 884^2 mod 247?,195
addition,517,793,What is 517 plus 793?,1310
division,964,854,What is 964 // 854?,1
division,758,157,What is 758 // 157?,4
gcd,680,275,What is the GCD of 680 and 275?,5
square_mod,886,702,What is 886^2 mod 702?,160
gcd,611,408,What is the GCD of 611 and 408?,1
bitwise_or,814,304,What is 814 OR 304?,830
square_mod,361,106,What is 361^2 mod 106?,47
modulo,737,84,What is 737 mod 84?,65
square_mod,709,78,What is 709^2 mod 78?,49
square_mod,918,742,What is 918^2 mod 742?,554
gcd,964,220,What is the GCD of 964 and 220?,4
bitwise_xor,214,394,What is 214 XOR 394?,348
multiplication,774,906,What is 774 times 906 mod 1000?,244
multiplication,288,934,What is 288 times 934 mod 1000?,992
multiplication,987,168,What is 987 times 168 mod 1000?,816
lcm,655,418,What is the LCM of 655 and 418 mod 1000?,790
lcm,76,307,What is the LCM of 76 and 307 mod 1000?,332
square_mod,816,569,What is 816^2 mod 569?,126
addition,112,107,What is 112 plus 107?,219
lcm,1,536,What is the LCM of 1 and 536 mod 1000?,536
addition,157,132,What is 157 plus 132?,289
modulo,953,253,What is 953 mod 253?,194
lcm,921,122,What is the LCM of 921 and 122 mod 1000?,362
modulo,982,884,What is 982 mod 884?,98
square_mod,867,830,What is 867^2 mod 830?,539
square_mod,997,398,What is 997^2 mod 398?,203
lcm,344,342,What is the LCM of 344 and 342 mod 1000?,824
bitwise_or,164,326,What is 164 OR 326?,486
lcm,225,191,What is the LCM of 225 and 191 mod 1000?,975
multiplication,916,751,What is 916 times 751 mod 1000?,916
lcm,816,840,What is the LCM of 816 and 840 mod 1000?,560
lcm,556,906,What is the LCM of 556 and 906 mod 1000?,868
lcm,351,153,What is the LCM of 351 and 153 mod 1000?,967
division,717,273,What is 717 // 273?,2
bitwise_or,805,677,What is 805 OR 677?,933
modulo,538,326,What is 538 mod 326?,212
gcd,490,305,What is the GCD of 490 and 305?,5
division,935,785,What is 935 // 785?,1
multiplication,73,869,What is 73 times 869 mod 1000?,437
modulo,695,37,What is 695 mod 37?,29
addition,850,998,What is 850 plus 998?,1848
addition,591,443,What is 591 plus 443?,1034
modulo,978,804,What is 978 mod 804?,174
addition,465,550,What is 465 plus 550?,1015
bitwise_or,711,167,What is 711 OR 167?,743
addition,450,477,What is 450 plus 477?,927
modulo,636,388,What is 636 mod 388?,248
modulo,933,221,What is 933 mod 221?,49
bitwise_xor,617,979,What is 617 XOR 979?,442
bitwise_or,294,69,What is 294 OR 69?,359
lcm,291,880,What is the LCM of 291 and 880 mod 1000?,80
modulo,710,56,What is 710 mod 56?,38
bitwise_xor,865,772,What is 865 XOR 772?,101
division,476,225,What is 476 // 225?,2
bitwise_or,277,418,What is 277 OR 418?,439
square_mod,494,325,What is 494^2 mod 325?,286
lcm,227,943,What is the LCM of 227 and 943 mod 1000?,61
lcm,622,554,What is the LCM of 622 and 554 mod 1000?,294
bitwise_or,408,692,What is 408 OR 692?,956
square_mod,888,160,What is 888^2 mod 160?,64
gcd,246,610,What is the GCD of 246 and 610?,2
lcm,842,984,What is the LCM of 842 and 984 mod 1000?,264
multiplication,840,837,What is 840 times 837 mod 1000?,80
division,639,561,What is 639 // 561?,1
multiplication,376,605,What is 376 times 605 mod 1000?,480
multiplication,426,60,What is 426 times 60 mod 1000?,560
multiplication,477,46,What is 477 times 46 mod 1000?,942
multiplication,186,799,What is 186 times 799 mod 1000?,614
multiplication,852,511,What is 852 times 511 mod 1000?,372
addition,607,680,What is 607 plus 680?,1287
bitwise_xor,302,209,What is 302 XOR 209?,511
bitwise_and,450,829,What is 450 AND 829?,256
gcd,797,860,What is the GCD of 797 and 860?,1
lcm,457,320,What is the LCM of 457 and 320 mod 1000?,240
multiplication,28,521,What is 28 times 521 mod 1000?,588
modulo,562,83,What is 562 mod 83?,64
bitwise_xor,192,67,What is 192 XOR 67?,131
bitwise_and,466,437,What is 466 AND 437?,400
bitwise_or,627,892,What is 627 OR 892?,895
bitwise_and,113,818,What is 113 AND 818?,48
bitwise_or,671,94,What is 671 OR 94?,735
multiplication,603,528,What is 603 times 528 mod 1000?,384
gcd,874,811,What is the GCD of 874 and 811?,1
bitwise_or,477,337,What is 477 OR 337?,477
bitwise_xor,477,514,What is 477 XOR 514?,991
multiplication,738,281,What is 738 times 281 mod 1000?,378
bitwise_xor,391,507,What is 391 XOR 507?,124
division,291,216,What is 291 // 216?,1
addition,870,774,What is 870 plus 774?,1644
bitwise_xor,922,18,What is 922 XOR 18?,904
multiplication,722,765,What is 722 times 765 mod 1000?,330
addition,595,170,What is 595 plus 170?,765
bitwise_and,894,859,What is 894 AND 859?,858
bitwise_and,654,244,What is 654 AND 244?,132
bitwise_xor,302,213,What is 302 XOR 213?,507
gcd,910,714,What is the GCD of 910 and 714?,14
bitwise_or,46,618,What is 46 OR 618?,622
multiplication,949,752,What is 949 times 752 mod 1000?,648
gcd,695,458,What is the GCD of 695 and 458?,1
bitwise_xor,203,376,What is 203 XOR 376?,435
addition,666,628,What is 666 plus 628?,1294
lcm,588,324,What is the LCM of 588 and 324 mod 1000?,876
square_mod,796,496,What is 796^2 mod 496?,224
bitwise_and,743,19,What is 743 AND 19?,3
bitwise_or,365,814,What is 365 OR 814?,879
bitwise_or,906,668,What is 906 OR 668?,926
multiplication,857,613,What is 857 times 613 mod 1000?,341
bitwise_and,396,455,What is 396 AND 455?,388
bitwise_or,637,966,What is 637 OR 966?,1023
division,577,566,What is 577 // 566?,1
square_mod,776,260,What is 776^2 mod 260?,16
division,174,30,What is 174 // 30?,5
addition,176,929,What is 176 plus 929?,1105
lcm,288,407,What is the LCM of 288 and 407 mod 1000?,216
square_mod,834,478,What is 834^2 mod 478?,66
addition,594,389,What is 594 plus 389?,983
square_mod,301,59,What is 301^2 mod 59?,36
bitwise_or,863,53,What is 863 OR 53?,895
multiplication,875,195,What is 875 times 195 mod 1000?,625
addition,971,41,What is 971 plus 41?,1012
bitwise_xor,157,451,What is 157 XOR 451?,350
addition,449,859,What is 449 plus 859?,1308
bitwise_and,572,224,What is 572 AND 224?,32
gcd,72,682,What is the GCD of 72 and 682?,2
modulo,601,164,What is 601 mod 164?,109
division,736,128,What is 736 // 128?,5
bitwise_or,30,901,What is 30 OR 901?,927
modulo,856,461,What is 856 mod 461?,395
bitwise_and,32,48,What is 32 AND 48?,32
bitwise_xor,618,922,What is 618 XOR 922?,496
bitwise_or,735,890,What is 735 OR 890?,1023
multiplication,478,534,What is 478 times 534 mod 1000?,252
square_mod,467,155,What is 467^2 mod 155?,4
bitwise_or,168,391,What is 168 OR 391?,431
bitwise_xor,177,786,What is 177 XOR 786?,931
multiplication,203,966,What is 203 times 966 mod 1000?,98
lcm,508,241,What is the LCM of 508 and 241 mod 1000?,428
addition,705,836,What is 705 plus 836?,1541
bitwise_xor,724,378,What is 724 XOR 378?,942
bitwise_xor,568,42,What is 568 XOR 42?,530
division,678,128,What is 678 // 128?,5
modulo,589,13,What is 589 mod 13?,4
bitwise_xor,933,61,What is 933 XOR 61?,920
bitwise_xor,710,153,What is 710 XOR 153?,607
multiplication,656,722,What is 656 times 722 mod 1000?,632
bitwise_xor,756,500,What is 756 XOR 500?,768
bitwise_and,308,576,What is 308 AND 576?,0
lcm,397,641,What is the LCM of 397 and 641 mod 1000?,477
addition,919,803,What is 919 plus 803?,1722
bitwise_and,708,989,What is 708 AND 989?,708
bitwise_xor,275,866,What is 275 XOR 866?,625
division,846,383,What is 846 // 383?,2
bitwise_or,627,279,What is 627 OR 279?,887
lcm,666,513,What is the LCM of 666 and 513 mod 1000?,962
square_mod,793,590,What is 793^2 mod 590?,499
division,244,235,What is 244 // 235?,1
bitwise_and,435,417,What is 435 AND 417?,417
multiplication,121,560,What is 121 times 560 mod 1000?,760
gcd,524,639,What is the GCD of 524 and 639?,1
bitwise_xor,243,575,What is 243 XOR 575?,716
modulo,821,137,What is 821 mod 137?,136
division,372,28,What is 372 // 28?,13
modulo,923,739,What is 923 mod 739?,184
square_mod,667,663,What is 667^2 mod 663?,16
addition,45,444,What is 45 plus 444?,489
addition,835,587,What is 835 plus 587?,1422
gcd,402,191,What is the GCD of 402 and 191?,1
bitwise_and,753,850,What is 753 AND 850?,592
lcm,22,723,What is the LCM of 22 and 723 mod 1000?,906
bitwise_or,408,59,What is 408 OR 59?,443
multiplication,723,804,What is 723 times 804 mod 1000?,292
division,702,226,What is 702 // 226?,3
addition,803,517,What is 803 plus 517?,1320
division,581,420,What is 581 // 420?,1
division,582,267,What is 582 // 267?,2
multiplication,804,389,What is 804 times 389 mod 1000?,756
gcd,756,990,What is the GCD of 756 and 990?,18
square_mod,505,141,What is 505^2 mod 141?,97
bitwise_or,130,971,What is 130 OR 971?,971
bitwise_xor,459,253,What is 459 XOR 253?,310
bitwise_or,321,497,What is 321 OR 497?,497
square_mod,854,3,What is 854^2 mod 3?,1
gcd,910,265,What is the GCD of 910 and 265?,5
division,270,15,What is 270 // 15?,18
square_mod,497,235,What is 497^2 mod 235?,24
modulo,771,210,What is 771 mod 210?,141
modulo,517,157,What is 517 mod 157?,46
lcm,357,477,What is the LCM of 357 and 477 mod 1000?,763
square_mod,170,29,What is 170^2 mod 29?,16
modulo,824,405,What is 824 mod 405?,14
gcd,482,532,What is the GCD of 482 and 532?,2
bitwise_xor,271,663,What is 271 XOR 663?,920
bitwise_xor,638,836,What is 638 XOR 836?,314
gcd,804,564,What is the GCD of 804 and 564?,12
division,398,99,What is 398 // 99?,4
modulo,833,142,What is 833 mod 142?,123
modulo,773,300,What is 773 mod 300?,173
bitwise_or,299,496,What is 299 OR 496?,507
addition,782,635,What is 782 plus 635?,1417
bitwise_and,213,124,What is 213 AND 124?,84
multiplication,202,733,What is 202 times 733 mod 1000?,66
division,281,177,What is 281 // 177?,1
modulo,686,130,What is 686 mod 130?,36
square_mod,829,468,What is 829^2 mod 468?,217
bitwise_xor,113,206,What is 113 XOR 206?,191
division,476,96,What is 476 // 96?,4
gcd,989,886,What is the GCD of 989 and 886?,1
multiplication,596,542,What is 596 times 542 mod 1000?,32
bitwise_and,900,267,What is 900 AND 267?,256
gcd,888,907,What is the GCD of 888 and 907?,1
gcd,909,690,What is the GCD of 909 and 690?,3
square_mod,975,187,What is 975^2 mod 187?,104
multiplication,292,274,What is 292 times 274 mod 1000?,8
bitwise_and,986,112,What is 986 AND 112?,80
bitwise_and,31,520,What is 31 AND 520?,8
bitwise_and,117,377,What is 117 AND 377?,113
bitwise_or,389,123,What is 389 OR 123?,511
gcd,561,581,What is the GCD of 561 and 581?,1
multiplication,524,810,What is 524 times 810 mod 1000?,440
addition,980,481,What is 980 plus 481?,1461
division,937,616,What is 937 // 616?,1
lcm,667,837,What is the LCM of 667 and 837 mod 1000?,279
multiplication,813,906,What is 813 times 906 mod 1000?,578
addition,627,763,What is 627 plus 763?,1390
multiplication,308,100,What is 308 times 100 mod 1000?,800
modulo,481,376,What is 481 mod 376?,105
bitwise_and,371,724,What is 371 AND 724?,80
bitwise_xor,816,748,What is 816 XOR 748?,476
gcd,384,207,What is the GCD of 384 and 207?,3
bitwise_or,555,86,What is 555 OR 86?,639
bitwise_xor,446,918,What is 446 XOR 918?,552
lcm,90,393,What is the LCM of 90 and 393 mod 1000?,790
bitwise_or,427,65,What is 427 OR 65?,491
bitwise_xor,557,781,What is 557 XOR 781?,288
gcd,389,865,What is the GCD of 389 and 865?,1
square_mod,914,485,What is 914^2 mod 485?,226
modulo,919,838,What is 919 mod 838?,81
bitwise_and,885,508,What is 885 AND 508?,372
addition,571,891,What is 571 plus 891?,1462
bitwise_or,544,596,What is 544 OR 596?,628
addition,127,922,What is 127 plus 922?,1049
multiplication,905,663,What is 905 times 663 mod 1000?,15
addition,952,815,What is 952 plus 815?,1767
bitwise_or,538,13,What is 538 OR 13?,543
modulo,952,169,What is 952 mod 169?,107
lcm,478,598,What is the LCM of 478 and 598 mod 1000?,922
bitwise_and,923,511,What is 923 AND 511?,411
addition,625,284,What is 625 plus 284?,909
multiplication,612,246,What is 612 times 246 mod 1000?,552
bitwise_or,266,275,What is 266 OR 275?,283
square_mod,378,68,What is 378^2 mod 68?,16
multiplication,721,863,What is 721 times 863 mod 1000?,223
addition,5,828,What is 5 plus 828?,833
addition,83,113,What is 83 plus 113?,196
lcm,803,920,What is the LCM of 803 and 920 mod 1000?,760
modulo,770,597,What is 770 mod 597?,173
modulo,902,576,What is 902 mod 576?,326
bitwise_or,665,155,What is 665 OR 155?,667
modulo,336,229,What is 336 mod 229?,107
bitwise_or,374,666,What is 374 OR 666?,1022
square_mod,561,304,What is 561^2 mod 304?,81
multiplication,421,480,What is 421 times 480 mod 1000?,80
multiplication,698,256,What is 698 times 256 mod 1000?,688
gcd,494,152,What is the GCD of 494 and 152?,38
square_mod,629,246,What is 629^2 mod 246?,73
bitwise_or,679,166,What is 679 OR 166?,679
multiplication,736,825,What is 736 times 825 mod 1000?,200
multiplication,976,926,What is 976 times 926 mod 1000?,776
multiplication,630,702,What is 630 times 702 mod 1000?,260
multiplication,567,901,What is 567 times 901 mod 1000?,867
square_mod,599,5,What is 599^2 mod 5?,1
modulo,641,300,What is 641 mod 300?,41
bitwise_or,756,144,What is 756 OR 144?,756
multiplication,44,633,What is 44 times 633 mod 1000?,852
addition,727,345,What is 727 plus 345?,1072
bitwise_or,809,828,What is 809 OR 828?,829
modulo,754,171,What is 754 mod 171?,70
bitwise_xor,774,449,What is 774 XOR 449?,711
multiplication,709,374,What is 709 times 374 mod 1000?,166
lcm,101,838,What is the LCM of 101 and 838 mod 1000?,638
gcd,988,776,What is the GCD of 988 and 776?,4
square_mod,925,587,What is 925^2 mod 587?,366
addition,912,366,What is 912 plus 366?,1278
bitwise_or,86,103,What is 86 OR 103?,119
division,186,56,What is 186 // 56?,3
gcd,339,622,What is the GCD of 339 and 622?,1
division,443,184,What is 443 // 184?,2
bitwise_xor,700,198,What is 700 XOR 198?,634
addition,309,121,What is 309 plus 121?,430
bitwise_xor,898,550,What is 898 XOR 550?,420
bitwise_or,772,426,What is 772 OR 426?,942
gcd,741,867,What is the GCD of 741 and 867?,3
square_mod,980,787,What is 980^2 mod 787?,260
square_mod,339,172,What is 339^2 mod 172?,25
bitwise_or,335,53,What is 335 OR 53?,383
square_mod,139,114,What is 139^2 mod 114?,55
multiplication,112,282,What is 112 times 282 mod 1000?,584
bitwise_or,623,955,What is 623 OR 955?,1023
lcm,486,540,What is the LCM of 486 and 540 mod 1000?,860
square_mod,758,290,What is 758^2 mod 290?,74
modulo,146,81,What is 146 mod 81?,65
multiplication,351,982,What is 351 times 982 mod 1000?,682
bitwise_or,656,864,What is 656 OR 864?,1008
lcm,933,649,What is the LCM of 933 and 649 mod 1000?,517
division,890,799,What is 890 // 799?,1
bitwise_xor,742,38,What is 742 XOR 38?,704
multiplication,252,262,What is 252 times 262 mod 1000?,24
modulo,767,631,What is 767 mod 631?,136
bitwise_and,418,326,What is 418 AND 326?,258
bitwise_xor,707,467,What is 707 XOR 467?,784
square_mod,931,27,What is 931^2 mod 27?,7
bitwise_or,244,102,What is 244 OR 102?,246
square_mod,617,348,What is 617^2 mod 348?,325
gcd,755,483,What is the GCD of 755 and 483?,1
square_mod,622,610,What is 622^2 mod 610?,144
lcm,845,980,What is the LCM of 845 and 980 mod 1000?,620
square_mod,545,337,What is 545^2 mod 337?,128
bitwise_xor,472,844,What is 472 XOR 844?,660
bitwise_or,434,770,What is 434 OR 770?,946
square_mod,702,40,What is 702^2 mod 40?,4
square_mod,211,28,What is 211^2 mod 28?,1
bitwise_xor,62,343,What is 62 XOR 343?,361
gcd,175,190,What is the GCD of 175 and 190?,5
lcm,526,934,What is the LCM of 526 and 934 mod 1000?,642
lcm,893,548,What is the LCM of 893 and 548 mod 1000?,364
gcd,77,424,What is the GCD of 77 and 424?,1
addition,90,30,What is 90 plus 30?,120
bitwise_or,897,347,What is 897 OR 347?,987
modulo,656,301,What is 656 mod 301?,54
modulo,593,223,What is 593 mod 223?,147
addition,89,881,What is 89 plus 881?,970
lcm,47,554,What is the LCM of 47 and 554 mod 1000?,38
lcm,457,779,What is the LCM of 457 and 779 mod 1000?,3
lcm,150,135,What is the LCM of 150 and 135 mod 1000?,350
bitwise_or,916,342,What is 916 OR 342?,982
gcd,344,867,What is the GCD of 344 and 867?,1
modulo,362,88,What is 362 mod 88?,10
lcm,841,699,What is the LCM of 841 and 699 mod 1000?,859
multiplication,520,469,What is 520 times 469 mod 1000?,880
modulo,580,28,What is 580 mod 28?,20
addition,875,143,What is 875 plus 143?,1018
division,274,216,What is 274 // 216?,1
modulo,403,96,What is 403 mod 96?,19
bitwise_xor,330,200,What is 330 XOR 200?,386
square_mod,567,333,What is 567^2 mod 333?,144
addition,930,268,What is 930 plus 268?,1198
bitwise_and,192,458,What is 192 AND 458?,192
gcd,186,341,What is the GCD of 186 and 341?,31
modulo,795,418,What is 795 mod 418?,377
division,216,204,What is 216 // 204?,1
addition,254,576,What is 254 plus 576?,830
multiplication,878,922,What is 878 times 922 mod 1000?,516
modulo,976,47,What is 976 mod 47?,36
addition,438,835,What is 438 plus 835?,1273
bitwise_xor,701,622,What is 701 XOR 622?,211
modulo,957,175,What is 957 mod 175?,82
bitwise_and,304,229,What is 304 AND 229?,32
bitwise_xor,859,206,What is 859 XOR 206?,917
gcd,619,27,What is the GCD of 619 and 27?,1
addition,850,77,What is 850 plus 77?,927
gcd,288,679,What is the GCD of 288 and 679?,1
bitwise_and,709,671,What is 709 AND 671?,645
gcd,268,928,What is the GCD of 268 and 928?,4
modulo,769,475,What is 769 mod 475?,294
addition,80,256,What is 80 plus 256?,336
bitwise_and,167,767,What is 167 AND 767?,167
modulo,224,116,What is 224 mod 116?,108
modulo,870,747,What is 870 mod 747?,123
lcm,974,498,What is the LCM of 974 and 498 mod 1000?,526
division,311,207,What is 311 // 207?,1
gcd,625,226,What is the GCD of 625 and 226?,1
gcd,64,152,What is the GCD of 64 and 152?,8
multiplication,965,500,What is 965 times 500 mod 1000?,500
square_mod,565,185,What is 565^2 mod 185?,100
multiplication,978,877,What is 978 times 877 mod 1000?,706
gcd,406,920,What is the GCD of 406 and 920?,2
bitwise_and,131,457,What is 131 AND 457?,129
bitwise_and,232,702,What is 232 AND 702?,168
bitwise_or,357,320,What is 357 OR 320?,357
bitwise_or,635,456,What is 635 OR 456?,1019
modulo,688,410,What is 688 mod 410?,278
lcm,422,735,What is the LCM of 422 and 735 mod 1000?,170
bitwise_xor,29,80,What is 29 XOR 80?,77
bitwise_xor,610,714,What is 610 XOR 714?,168
modulo,702,503,What is 702 mod 503?,199
multiplication,924,99,What is 924 times 99 mod 1000?,476
division,559,192,What is 559 // 192?,2
lcm,956,984,What is the LCM of 956 and 984 mod 1000?,176
bitwise_and,11,107,What is 11 AND 107?,11
lcm,146,577,What is the LCM of 146 and 577 mod 1000?,242
division,375,358,What is 375 // 358?,1
gcd,606,425,What is the GCD of 606 and 425?,1
bitwise_and,992,807,What is 992 AND 807?,800
bitwise_and,100,467,What is 100 AND 467?,64
square_mod,902,346,What is 902^2 mod 346?,158
modulo,353,139,What is 353 mod 139?,75
bitwise_xor,718,954,What is 718 XOR 954?,372
lcm,255,199,What is the LCM of 255 and 199 mod 1000?,745
bitwise_or,172,1,What is 172 OR 1?,173
square_mod,430,425,What is 430^2 mod 425?,25
gcd,571,125,What is the GCD of 571 and 125?,1
lcm,420,875,What is the LCM of 420 and 875 mod 1000?,500
modulo,391,265,What is 391 mod 265?,126
square_mod,938,356,What is 938^2 mod 356?,168
division,822,360,What is 822 // 360?,2
addition,263,860,What is 263 plus 860?,1123
gcd,881,525,What is the GCD of 881 and 525?,1
bitwise_or,360,568,What is 360 OR 568?,888
square_mod,943,273,What is 943^2 mod 273?,88
bitwise_or,143,6,What is 143 OR 6?,143
multiplication,429,713,What is 429 times 713 mod 1000?,877
addition,440,742,What is 440 plus 742?,1182
bitwise_or,835,243,What is 835 OR 243?,1011
lcm,630,482,What is the LCM of 630 and 482 mod 1000?,830
modulo,397,296,What is 397 mod 296?,101
lcm,19,14,What is the LCM of 19 and 14 mod 1000?,266
bitwise_xor,516,629,What is 516 XOR 629?,113
bitwise_xor,368,941,What is 368 XOR 941?,733
bitwise_or,941,198,What is 941 OR 198?,1007
bitwise_and,126,473,What is 126 AND 473?,88
bitwise_and,76,949,What is 76 AND 949?,4
division,574,292,What is 574 // 292?,1
bitwise_and,333,957,What is 333 AND 957?,269
division,779,99,What is 779 // 99?,7
bitwise_xor,312,802,What is 312 XOR 802?,538
bitwise_or,764,885,What is 764 OR 885?,1021
modulo,588,102,What is 588 mod 102?,78
bitwise_xor,510,751,What is 510 XOR 751?,785
addition,503,471,What is 503 plus 471?,974
division,996,338,What is 996 // 338?,2
modulo,644,535,What is 644 mod 535?,109
bitwise_and,642,495,What is 642 AND 495?,130
addition,978,709,What is 978 plus 709?,1687
bitwise_xor,853,611,What is 853 XOR 611?,310
square_mod,981,65,What is 981^2 mod 65?,36
bitwise_or,384,325,What is 384 OR 325?,453
gcd,990,566,What is the GCD of 990 and 566?,2
lcm,905,972,What is the LCM of 905 and 972 mod 1000?,660
bitwise_and,262,719,What is 262 AND 719?,6
addition,409,238,What is 409 plus 238?,647
bitwise_or,76,176,What is 76 OR 176?,252
modulo,394,31,What is 394 mod 31?,22
division,729,67,What is 729 // 67?,10
bitwise_and,755,975,What is 755 AND 975?,707
lcm,62,421,What is the LCM of 62 and 421 mod 1000?,102
gcd,325,163,What is the GCD of 325 and 163?,1
bitwise_and,385,492,What is 385 AND 492?,384
modulo,723,236,What is 723 mod 236?,15
multiplication,55,26,What is 55 times 26 mod 1000?,430
modulo,336,236,What is 336 mod 236?,100
addition,294,218,What is 294 plus 218?,512
bitwise_xor,142,534,What is 142 XOR 534?,664
division,886,814,What is 886 // 814?,1
division,948,780,What is 948 // 780?,1
multiplication,717,242,What is 717 times 242 mod 1000?,514
square_mod,262,246,What is 262^2 mod 246?,10
gcd,153,841,What is the GCD of 153 and 841?,1
bitwise_and,608,775,What is 608 AND 775?,512
addition,67,770,What is 67 plus 770?,837
addition,476,710,What is 476 plus 710?,1186
lcm,921,530,What is the LCM of 921 and 530 mod 1000?,130
bitwise_or,587,286,What is 587 OR 286?,863
bitwise_xor,488,416,What is 488 XOR 416?,72
bitwise_or,28,670,What is 28 OR 670?,670
division,772,403,What is 772 // 403?,1
addition,985,946,What is 985 plus 946?,1931
bitwise_and,634,159,What is 634 AND 159?,26
division,675,621,What is 675 // 621?,1
addition,890,628,What is 890 plus 628?,1518
lcm,313,108,What is the LCM of 313 and 108 mod 1000?,804
modulo,344,244,What is 344 mod 244?,100
square_mod,689,402,What is 689^2 mod 402?,361
bitwise_or,219,115,What is 219 OR 115?,251
gcd,944,484,What is the GCD of 944 and 484?,4
gcd,330,168,What is the GCD of 330 and 168?,6
multiplication,922,652,What is 922 times 652 mod 1000?,144
addition,806,397,What is 806 plus 397?,1203
square_mod,552,10,What is 552^2 mod 10?,4
